start_node,end_node,paths,speed_limit_kph,distance_meters,duration_seconds,route,is_signed,is_blocked
"(40.825825, -73.915724)","(40.825449, -73.915935)",teller avenue,30,45.1104,5.41325,street,oneway,0
"(40.825751, -73.915467)","(40.825449, -73.915935)",park avenue,30,52.1208,6.254496,street,oneway,0
"(40.825449, -73.915935)","(40.824999, -73.916618)",park avenue,30,75.8952,9.107424,street,oneway,0
"(40.826717, -73.922625)","(40.826329, -73.921209)",161st street,40,128.016,11.52144,widestreet,twoway,0
"(40.823105, -73.923383)","(40.823450, -73.924388)",156th street,30,92.964,11.15568,street,oneway,0
"(40.824966, -73.922281)","(40.825408, -73.923419)",158th street,30,106.985,12.8382,street,oneway,0
"(40.825650, -73.921754)","(40.826087, -73.923008)",159th street,30,116.129,13.93548,street,oneway,0
"(40.823618, -73.923075)","(40.822683, -73.920097)",156th street,30,321.869,38.62428,street,oneway,0
"(40.817446, -73.922738)","(40.816565, -73.919547)",149th street,40,321.869,28.96821,widestreet,twoway,0
"(40.816565, -73.919547)","(40.817233, -73.919237)",courtlandt avenue,30,78.0288,9.363456,street,oneway,0
"(40.817233, -73.919237)","(40.817975, -73.918911)",courtlandt avenue,30,88.0872,10.570464,street,oneway,0
"(40.817975, -73.918911)","(40.818696, -73.918572)",courtlandt avenue,30,85.9536,10.314432,street,oneway,0
"(40.818696, -73.918572)","(40.819369, -73.918289)",courtlandt avenue,30,77.1144,9.253728,street,oneway,0
"(40.819369, -73.918289)","(40.820006, -73.917991)",courtlandt avenue,30,74.9808,8.997696,street,oneway,0
"(40.820006, -73.917991)","(40.820658, -73.917711)",courtlandt avenue,30,75.8952,9.107424,street,oneway,0
"(40.820658, -73.917711)","(40.821293, -73.917428)",courtlandt avenue,30,74.9808,8.997696,street,oneway,0
"(40.821293, -73.917428)","(40.822206, -73.916926)",courtlandt avenue,30,110.033,13.20396,street,oneway,0
"(40.822206, -73.916926)","(40.822825, -73.916582)",courtlandt avenue,30,75.8952,9.107424,street,oneway,0
"(40.822825, -73.916582)","(40.823472, -73.916221)",courtlandt avenue,30,77.1144,9.253728,street,oneway,0
"(40.823472, -73.916221)","(40.824102, -73.915880)",courtlandt avenue,30,75.8952,9.107424,street,oneway,0
"(40.824102, -73.915880)","(40.824702, -73.915523)",courtlandt avenue,30,73.152,8.77824,street,oneway,0
"(40.817233, -73.919237)","(40.818062, -73.922447)",150th street,30,321.869,38.62428,street,oneway,0
"(40.818802, -73.922122)","(40.817975, -73.918911)",151st street,30,321.869,38.62428,street,oneway,0
"(40.819369, -73.918289)","(40.820204, -73.921469)",153rd street,30,321.869,38.62428,street,oneway,0
"(40.822254, -73.920331)","(40.821293, -73.917428)",156th street,30,321.869,38.62428,street,oneway,0
"(40.823386, -73.918344)","(40.822825, -73.916582)",158th street,30,160.934,19.31208,street,oneway,0
"(40.823472, -73.916221)","(40.823892, -73.917575)",159th street,30,123.139,14.77668,street,oneway,0
"(40.824102, -73.915880)","(40.824393, -73.916772)",160th street,30,81.9912,9.838944,street,oneway,0
"(40.816565, -73.919547)","(40.816157, -73.917746)",149th street,40,160.934,14.48406,street,twoway,0
"(40.816157, -73.917746)","(40.816770, -73.917461)",melrose avenue,40,71.9328,6.473952,widestreet,twoway,0
"(40.816770, -73.917461)","(40.817515, -73.917127)",melrose avenue,40,86.868,7.81812,widestreet,twoway,0
"(40.817515, -73.917127)","(40.818246, -73.916800)",melrose avenue,40,85.344,7.68096,widestreet,twoway,0
"(40.818246, -73.916800)","(40.818887, -73.916507)",melrose avenue,40,76.2,6.858,widestreet,twoway,0
"(40.818887, -73.916507)","(40.819540, -73.916204)",melrose avenue,40,76.2,6.858,widestreet,twoway,0
"(40.819540, -73.916204)","(40.820182, -73.915915)",melrose avenue,40,76.2,6.858,widestreet,twoway,0
"(40.820182, -73.915915)","(40.820832, -73.915619)",melrose avenue,40,76.2,6.858,widestreet,twoway,0
"(40.820832, -73.915619)","(40.821678, -73.915192)",melrose avenue,40,99.9744,8.997696,widestreet,twoway,0
"(40.821678, -73.915192)","(40.822315, -73.914849)",melrose avenue,40,76.2,6.858,widestreet,twoway,0
"(40.822315, -73.914849)","(40.822956, -73.914515)",melrose avenue,40,76.2,6.858,widestreet,twoway,0
"(40.822956, -73.914515)","(40.823595, -73.914186)",melrose avenue,40,76.2,6.858,widestreet,twoway,0
"(40.823595, -73.914186)","(40.824207, -73.913844)",melrose avenue,40,74.0664,6.665976,widestreet,twoway,0
"(40.824207, -73.913844)","(40.824819, -73.913519)",melrose avenue,40,74.0664,6.665976,widestreet,twoway,0
"(40.824819, -73.913519)","(40.825478, -73.913174)",melrose avenue,40,79.248,7.13232,widestreet,twoway,0
"(40.816770, -73.917461)","(40.817233, -73.919237)",150th street,30,160.934,19.31208,street,oneway,0
"(40.817975, -73.918911)","(40.817515, -73.917127)",150th street,30,160.934,19.31208,street,oneway,0
"(40.818696, -73.918572)","(40.818246, -73.916800)",152nd street,30,160.934,19.31208,street,oneway,0
"(40.818887, -73.916507)","(40.819369, -73.918289)",153rd street,30,160.934,19.31208,street,oneway,0
"(40.820006, -73.917991)","(40.819540, -73.916204)",154th street,30,160.934,19.31208,street,oneway,0
"(40.820182, -73.915915)","(40.820658, -73.917711)",155th street,30,160.934,19.31208,street,oneway,0
"(40.821293, -73.917428)","(40.820832, -73.915619)",156th street,30,160.934,19.31208,street,oneway,0
"(40.821678, -73.915192)","(40.822206, -73.916926)",157th street,30,160.934,19.31208,street,oneway,0
"(40.822825, -73.916582)","(40.822315, -73.914849)",158th street,30,160.934,19.31208,street,oneway,0
"(40.822956, -73.914515)","(40.823472, -73.916221)",159th street,30,160.934,19.31208,street,oneway,0
"(40.823595, -73.914186)","(40.824102, -73.915880)",160th street,30,160.934,19.31208,street,oneway,0
"(40.824702, -73.915523)","(40.824207, -73.913844)",161st street,40,160.934,14.48406,widestreet,twoway,0
"(40.824819, -73.913519)","(40.825219, -73.914749)",162nd street ,30,113.081,13.56972,street,oneway,0
"(40.825697, -73.913982)","(40.825478, -73.913174)",163rd street,30,73.152,8.77824,street,oneway,0
